index,word,definition
1, Acrophobia, fear of heights
2, Bourgeois, middle class
3, Debility, weakness; incapacity
4, Epistolary, concerned with letters; through correspondence
5, Hiatus, interruption; pause
6, Languid, tired; slow
7, Obscured, hidden; covered; buried
8, Poised, calm; collected; self-possessed
9, Resplendent,shining; glowing
10, Therapeutic, medicinal; curative
11, Acuity, sharpness (mental or visual)
12, Braggart, someone who boasts
13,Debunking,    exposing false claims or myths
14,Epitomized,    typified; characterized; personified
15,Hidebound ,   rigid in opinions
16,Languish ,   decay; fade away; get weaker
17,Obsequious,    servile; submissive
18,Polemical   , causing debate or argument
19,Restorative  ,  a tonic
20,Thwart ,   prevent; frustrate
21,Adamant   , forceful; inflexible
22,Brawny  ,  muscular
23,Decathlon ,   an athletic competition with ten events
24,Equivocate  ,  speak ambiguously; avoid telling the truth
25,Hieroglyphics,    1. picture writing; 2. writing which is difficult to read or enigmatic
26,Larceny  ,  theft; robbery; stealing
27,Obsession ,   a dominating concern
28,Ponderous  ,  weighty; slow and heavy
29,Retention  ,  preservation; withholding
30,Timorous  ,  cowardly; fearful
31,Adroit  ,  skilful / skillful
32,Brevity ,   being brief
33,Decorum   , dignified, correct behavior [decorous (a)]
34,Err   , make a mistake
35,Hinder ,   obstruct
36,Largess ,   generosity
37,Obsolete,    no longer valid
38,Pontificate,    speak pompously or dogmatically
39,Reticent  ,  restrained; holding something back; uncommunicative
40,Tirade  ,  stream of verbal abuse
41,Adulation  ,  strong admiration; worship
42,Bristle ,   to show irritation
43,Decoy  ,  lure; trap; trick
44,Erratic  ,  wandering; irregular
45,Histrionic   , theatrical; exaggerated
46,Laud  ,  praise
47,Obstreperous  ,  noisy and boisterous
48,Portend   , foretell
49,Retraction  ,  withdrawal; cancellation of a statement
50,Titter  ,  giggle quietly
51,Adversity,    hardship
52,Broach   , start to discuss; approach
53,Deference  ,  respect
54,Esoteric ,   obscure and difficult to understand
55,Hoary  ,  old
56,Lavish   , on a grand scale; wasteful
57,Obtuse  ,  mentally dull
58,Portent ,   a warning sign; omen
59,Revere  ,  worship
60,Tome  ,  large book
61,Advocate  ,  support
62,Brusque   , blunt; abrupt
63,Defoliate  ,  cause leaves to fall off
64,Espouse  ,  promote; take up; support
65,Hone  ,  sharpen; increase; whet
66,Lax  ,  careless; not strict
67,Obviate  ,  avoid; make unnecessary
68,Poseur  ,  someone who puts on an act
69,Riddled  ,  full of (usually full of holes)
70, Heresy, against orthodox opinion
71, Lance, spear; spike; javelin
72, Obscure, difficult to understand; partially hidden
73, Poignant, deeply moving; strongly affecting the emotions
74, Respite, a break; intermission
75, Terse, concise; to the point
76,Torpid ,   inactive; lazy; stagnant
77,Aesthetic  ,  concerning art or beauty
78,Bulwark  ,  fortification; barricade; wall
79,Defunct  ,  no longer in existence
80,Etymology   , the study of word origins
81,Hyperbole ,   grossly exaggerated speech
82,Legend  ,  1. key to map; 2. myth or story
83,Odious ,   hateful
84,Posterity   , future generations
85,Rife  ,  common
86,Torpor  ,  dormancy; sluggishness; inactivity
87,Affable  ,  friendly; social; easygoing
88,Bureaucracy  ,  officialdom
89,Degradation    ,deprivation; poverty; debasement
90,Eulogy,    praise
91,Hypochondriac  ,  a person obsessed with health; having imaginary illnesses
92,Legion   , in large numbers
93,Officious ,   domineering; intrusive; meddlesome
94,Posthumous ,   after death
95,Rigor  ,  thoroughness
96,Totter   , walk unsteadily
97,Acrid  ,  sharp; pungent (used of smells and tastes)
98,Boorish   , ill-mannered
99,Cynical  ,  believing that people act only out of selfish motives
100,Epistle  ,  a letter (form of communication)
